freq_Hz,real,imag,amplitude_dB,phase_deg,screen_FDATA
6000000000.0,1.545202612876892,1.7310961484909058,7.31132878579121,48.24741677435423,7.311328887939453
6000500000.0,1.8454097509384155,1.4070085287094116,7.312026555724448,37.32323500867319,7.312026500701904
6001000000.0,2.0990641117095947,0.964925229549408,7.273094774252159,24.687914103664227,7.273094654083252
6001500000.0,2.2771756649017334,0.5067238211631775,7.357823216180577,12.545225641332253,7.357822895050049
6002000000.0,2.336796283721924,0.016801586374640465,7.372641573957211,0.41195007326099514,7.372641563415527
6002500000.0,2.282188653945923,-0.46913328766822815,7.346775295844412,-11.616073138147268,7.346775054931641
6003000000.0,2.15211820602417,-0.9032887816429138,7.362006985707018,-22.76880627232374,7.362006664276123
6003500000.0,1.8402073383331299,-1.3367942571640015,7.137745421484494,-35.99603345129681,7.137745380401611
6004000000.0,1.5873581171035767,-1.684272289276123,7.28879401446455,-46.69675330744755,7.288794040679932
6004500000.0,1.2244415283203125,-1.9859179258346558,7.358484726112683,-58.34359385115504,7.358484268188477
6005000000.0,0.7518414855003357,-2.2015228271484375,7.333552503428164,-71.14446424839018,7.333552360534668
6005500000.0,0.2738036513328552,-2.288097858428955,7.251239841597922,-83.17618793009007,7.251239776611328
6006000000.0,-0.17946316301822662,-2.2917332649230957,7.229832232979927,-94.47763297569821,7.229832172393799
6006500000.0,-0.6760504245758057,-2.161884307861328,7.101840650099999,-107.3651686816872,7.101840496063232
6007000000.0,-1.1031115055084229,-1.9864214658737183,7.128790119972984,-119.04455298401561,7.128789901733398
6007500000.0,-1.5092509984970093,-1.7589253187179565,7.301082617252771,-130.63133976276401,7.301082611083984
6008000000.0,-1.8486416339874268,-1.4013111591339111,7.308750058510562,-142.8370695658559,7.308749675750732
6008500000.0,-2.099952459335327,-0.9784448742866516,7.297441136216963,-155.01746166451687,7.297441005706787
6009000000.0,-2.2722225189208984,-0.4885253608226776,7.325266178198354,-167.86617961942218,7.325266361236572
6009500000.0,-2.3063440322875977,0.005544424057006836,7.258506909449657,-180.13773811794465,7.258506774902344
6010000000.0,-2.227755546569824,0.4478490650653839,7.12941116460324,-191.36674932210008,7.129411220550537
6010500000.0,-2.083752393722534,0.9107980132102966,7.136230002839604,-203.6099040443549,7.136229991912842
6011000000.0,-1.8540682792663574,1.3447136878967285,7.198137228726144,-215.9525257291093,7.198136806488037
6011500000.0,-1.5050331354141235,1.714186191558838,7.163004863010711,-228.71728900042038,7.1630048751831055
6012000000.0,-1.1459712982177734,1.9688620567321777,7.151395767383924,-239.79856061344896,7.15139627456665
6012500000.0,-0.7028136849403381,2.1909139156341553,7.237881093765105,-252.21450598677325,7.237881183624268
6013000000.0,-0.22341929376125336,2.257082939147949,7.113296284015476,-264.34694330769275,7.113296031951904
6013500000.0,0.27908143401145935,2.2858431339263916,7.2451878365792455,-276.96086263407693,7.245187759399414
6014000000.0,0.7285460829734802,2.136003017425537,7.069982583957376,-288.83343848235114,7.069982051849365
6014500000.0,1.1732559204101562,1.9619437456130981,7.181488549252169,-300.87971538364076,7.181488513946533
6015000000.0,1.5157397985458374,1.627264380455017,6.942063862517177,-312.9678015888816,6.942063808441162
6015500000.0,1.844131588935852,1.284669041633606,7.033942089275076,-325.1379481186079,7.033942699432373
6016000000.0,2.0663669109344482,0.9213971495628357,7.091719722241883,-335.96781186080426,7.091720104217529
6016500000.0,2.202188730239868,0.44256436824798584,7.02904074823407,-348.63687576959074,7.029040813446045
6017000000.0,2.238294839859009,-0.061608776450157166,7.0016349194981515,-361.57666084411403,7.00163459777832
